B Bhandari,NEPAL,5,27,23,6,292,58,17.17,262,111.45,0,2,1,23,12
CA Lynn,Australia,4,18,16,1,291,44,19.4,221,131.67,0,0,1,28,14
HDRL Thirimanne,Sri Lanka,4,26,20,2,291,44,16.16,267,108.98,0,0,1,27,5
AN Kervezee,NL,3,10,10,1,289,58,32.11,262,110.3,0,2,0,19,6
DS Airee,NEPAL,1,18,16,2,287,47,20.5,260,110.38,0,0,0,22,6
IA Karim,KENYA,6,16,16,3,286,71,22.0,299,95.65,0,2,2,30,2
A Bagai,CAN,5,9,9,2,284,67,40.57,249,114.05,0,2,0,27,0
Mohammad Shahzad,UAE,2,20,20,2,281,52,15.61,239,117.57,0,1,2,25,11
TC Bruce,New Zealand,2,15,15,2,279,59,21.46,222,125.67,0,2,0,24,7
SO Hetmyer,West Indies,1,20,18,1,279,56,16.41,223,125.11,0,1,2,19,17
TAM Siriwardana,Sri Lanka,2,22,19,3,275,42,17.18,208,132.21,0,0,4,16,12
AC Gilchrist,Australia,3,13,13,1,272,48,22.66,192,141.66,0,0,0,27,13
Amjad Javed,UAE,3,22,18,3,271,76,18.06,242,111.98,0,1,1,17,15
MV Boucher,South Africa,5,25,21,6,268,36,17.86,275,97.45,0,0,0,22,2
Ravinderpal Singh,CAN,0,12,10,2,266,101,33.25,177,150.28,1,1,1,13,19
PK Matautaava,VAN,0,10,10,0,265,103,26.5,156,169.87,1,1,2,19,20
SR Taylor,South Africa,0,8,8,1,265,72,37.85,207,128.01,0,2,1,28,10
MJ Santner,New Zealand,4,39,27,10,263,37,15.47,205,128.29,0,0,3,22,7
Imad Wasim,Pakisthan,4,41,29,9,261,47,13.05,180,145.0,0,0,6,28,7
DMW Rawlins,Bermuda,0,11,11,0,261,63,23.72,201,129.85,0,1,1,23,15
Adnan Idrees,KUW,0,6,6,0,259,80,43.16,157,164.96,0,3,0,35,9
T Taibu,Zimbabwe,5,17,15,6,259,45,28.77,257,100.77,0,0,2,19,2
Adnan Ilyas,OMAN,1,12,11,0,258,54,23.45,218,118.34,0,1,0,16,8
Najeeb Tarakai,Afganisthan,5,12,12,0,258,90,21.5,210,122.85,0,1,1,21,13
DM de Silva,Sri Lanka,4,13,13,0,257,62,19.76,252,101.98,0,1,0,18,4
Manpreet Singh,SGP,0,12,12,1,255,42,23.18,222,114.86,0,0,0,15,5
SE Marsh,Australia,8,15,15,1,255,47,18.21,248,102.82,0,0,2,15,10
RP Burl,Zimbabwe,1,16,13,3,254,57,25.4,221,114.93,0,1,0,16,10
HE van der Dussen,South Africa,1,9,8,0,254,64,31.75,192,132.29,0,2,1,14,12
Waqas Barkat,HKG,5,22,20,2,254,37,14.11,286,88.81,0,0,2,20,0
SF Mire,Zimbabwe,1,9,8,0,253,94,31.62,196,129.08,0,2,0,23,13
GH Dockrell,Ireland,9,73,33,14,251,34,13.21,207,121.25,0,0,4,14,7
DT Johnston,Ireland,5,30,19,7,249,62,20.75,184,135.32,0,1,1,13,11
RV Uthappa,India,8,13,12,2,249,50,24.9,211,118.0,0,1,1,26,6
CG Williams,NAM,0,13,12,3,249,68,27.66,210,118.57,0,1,1,15,10
JP Kotze,NAM,0,12,12,1,245,101,22.27,193,126.94,1,0,1,21,13
Mohamed Rishwan,Mald,0,11,10,0,245,67,24.5,245,100.0,0,2,0,22,10
CN Ackermann,NL,0,11,11,3,243,43,30.37,196,123.97,0,0,0,18,5
Muhammad Kashif,KUW,0,10,9,4,242,53,48.4,215,112.55,0,2,0,14,13
UT Khawaja,Australia,0,9,9,0,241,58,26.77,182,132.41,0,1,0,31,5
MA Leask,SCOT,6,31,22,2,240,58,12.0,199,120.6,0,1,2,16,12
SW Poynter,Ireland,4,25,21,6,240,39,16.0,213,112.67,0,0,0,22,6
Aizaz Khan,HKG,5,30,27,7,239,31,11.95,234,102.13,0,0,4,19,4
MS Wade,Australia,5,26,17,5,239,72,19.91,218,109.63,0,1,0,11,9
Ashfaq Ahmed,UAE,1,12,12,0,238,75,19.83,185,128.64,0,3,2,32,6
SD Hope,West Indies,2,13,11,0,238,55,21.63,175,136.0,0,2,1,24,10
J Mubarak,Sri Lanka,2,16,15,4,238,46,21.63,188,126.59,0,0,2,21,8
Khalid Latif,Pakisthan,8,13,13,2,237,59,21.54,229,103.49,0,1,1,25,6
RE Levi,South Africa,0,13,13,2,236,117,21.45,167,141.31,1,1,3,20,15
YK Pathan,India,5,22,18,5,236,37,18.15,161,146.58,0,0,3,11,17
MM Ali,England,4,25,22,6,235,72,14.68,198,118.68,0,1,6,21,9
F Damiao Couana,Moz,0,7,7,1,233,71,38.83,179,130.16,0,1,0,16,14
ES Szwarczynski,NL,5,14,12,1,233,45,21.18,243,95.88,0,0,0,22,2
HT Tector,Ireland,0,14,12,3,233,60,25.88,176,132.38,0,1,0,20,5
BA Stokes,England,7,23,20,5,232,38,15.46,178,130.33,0,0,1,20,9
H Gori,CZK-R,0,7,7,0,231,66,33.0,176,131.25,0,1,0,23,12
JF Mooney,Ireland,6,27,23,9,231,31,16.5,214,107.94,0,0,0,25,1
AR Cusack,Ireland,7,37,21,6,229,65,15.26,177,129.37,0,1,1,17,6
Mohammed Rizlan,QAT,0,15,12,5,229,38,32.71,218,105.04,0,0,0,14,10
Aftab Ahmed,Bangladesh,4,11,11,1,228,62,22.8,178,128.08,0,1,0,26,6
T Mishra,KENYA,6,15,15,0,227,38,15.13,263,86.31,0,0,2,15,4
Rahmanullah Gurbaz,Afganisthan,0,7,7,0,227,79,32.42,164,138.41,0,2,2,19,13
C Bisson,JER,0,14,14,2,226,54,18.83,177,127.68,0,1,3,24,5
SS Iyer,India,2,14,13,3,226,62,22.6,178,126.96,0,1,1,18,9
I Udana,Sri Lanka,10,27,19,9,226,84,22.6,152,148.68,0,1,2,15,13
DAS Gunaratne,Sri Lanka,1,12,12,3,225,84,25.0,178,126.4,0,2,2,19,6
Inam-ul-Haq,QAT,0,11,11,2,225,73,25.0,205,109.75,0,1,1,28,2
GSNFG Jayasuriya,Sri Lanka,4,16,14,0,225,40,16.07,203,110.83,0,0,0,17,8
Shafiq Sharif,MAL,0,10,10,0,225,53,22.5,171,131.57,0,1,2,32,5
